date;miles
31.07.2019;0
31.08.2019;2915
24.09.2019;5181
28.10.2019;7064
27.11.2019;9350
31.12.2019;11760
31.01.2020;13500
29.02.2020;15005
30.03.2020;17315
30.04.2020;17579
31.05.2020;19360
30.06.2020;21266
31.07.2020;23000
31.08.2020;25360
18.09.2020;26581
30.09.2020;27100
30.10.2020;28600
30.11.2020;31560
31.12.2020;37597
10.01.2021;39300
20.01.2021;40851
31.01.2021;42864
10.02.2021;44100
28.02.2021;45400
31.03.2021;46411
30.04.2021;47900
31.05.2021;52057
30.06.2021;53960
31.07.2021;57200
13.08.2021;60905
20.08.2021;63800
05.09.2021;65065
15.09.2021;65500
21.09.2021;65900
03.10.2021;66390
04.11.2021;68036
30.11.2021;69150
01.01.2022;72000
16.01.2022;73500
12.02.2022;74841
19.02.2022;75261
28.02.2022;75635
05.04.2022;76700
21.04.2022;77750
30.04.2022;78250
17.05.2022;79000
01.06.2022;80100
17.06.2022;81500
03.07.2022;82631
15.07.2022;83900
02.08.2022;88230
07.08.2022;91232
17.08.2022;91750
28.08.2022;92400
02.09.2022;92755
18.09.2022;93470
25.09.2022;94000
09.10.2022;94360
17.10.2022;94915
23.10.2022;96000
01.11.2022;97430
20.11.2022;98345
09.12.2022;99005
19.12.2022;99198
24.12.2022;99539
14.01.2023;100369
20.01.2023;100500
28.01.2023;100805
04.02.2023;100959
23.02.2023;101661
19.03.2023;102574
01.04.2023;103050
26.04.2023;103950
11.05.2023;105050
04.06.2023;107300
